"Marca temporal","¿Qué tipo de contenidos te gustaría que haya en la web de Espacio Paz?  ","¿Qué temas te gustaría que Paz profundice?","  
¿Cómo preferís participar de los contenidos?  ","¿Qué formato te resulta más cómodo o te gustaría consumir?  ","Si hubiera una comunidad o grupo para acompañar los procesos, ¿qué te gustaría que tenga?
(Ej. meditaciones semanales, lives, materiales exclusivos, acompañamiento grupal...)","¿Qué te gustaría que Paz implemente en esta nueva etapa?
(Ej. un curso específico, rituales nuevos, más meditaciones, mentorías, retiros, etc.)","¿Si pudieras elegir, ¿qué experiencias te gustaría que se mantengan o se amplíen?  ","¿Cuánto tiempo solés dedicar a tu bienestar personal o espiritual por semana?  ","¿Qué valor mensual te parecería accesible para una membresía con meditaciones, cursos cortos y rituales exclusivos?  ","¿Querés que te avisemos cuando lancemos la nueva web y los nuevos programas?  ","¿Querés dejarnos alguna sugerencia o idea para Espacio Paz?  "
"2025/10/19 2:01:39 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Todo lo que me sume y aporte para mantenerme enfocada. ","Mentirías y retiros ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;🌸 Talleres online;✨ Mentorías personalizadas;🌕 Espacio de membresía mensual","🌙 1 a 3 horas","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Paz sos una genia, todo lo que propongas ya es un éxito. Que la vida te sostenga hoy y siempre para que sigas expandiendo tu amor y tu sabiduría. 💗✨"
"2025/10/20 12:39:49 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","🌙 A mi ritmo (videos o materiales grabados)","🎧 Audio (meditaciones o clases);💫 Ritual guiado paso a paso","Meditaciones semanales.","Rituales y meditaciones. ","🌙 Baños de gong presenciales","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:40:02 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💫Sanación del niño interior;💜 Amor propio y relaciones conscientes;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🌙 Ejercicios o desafíos semanales","Meditaciones semanales ","Retiros ","💫 Retiros o encuentros grupales","🌸 Menos de 1 hora","🌸 Entre 10 y 20 USD","Magejm@hotmail.com",""
"2025/10/20 12:40:19 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","Un poco de todo dependiendo de que se trate la propuesta",".. ",".. ","✨ Mentorías personalizadas","🌸 Menos de 1 hora","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:40:57 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);✨ Meditaciones grabadas","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;💫 Ritualística y energía femenina","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🌙 Ejercicios o desafíos semanales","Meditaciones ","Retiros ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales","🌸 Menos de 1 hora","🌙 Prefiero pagar por cada curso o ritual","🌙 No por ahora",""
"2025/10/20 12:41:19 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso","💫Sanación del niño interior;✨ Biodescodificación emocional;🌕 Abundancia y merecimiento","💫 En vivo (talleres o encuentros por Zoom)","📖 PDF / Cuaderno de trabajo;💫 Ritual guiado paso a paso","Acompañamiento grupal","Cursos específicos y retiros ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:41:48 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);✨ Meditaciones grabadas","💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases)","Meditaciones y material","Mentorias","🌙 Baños de gong presenciales;🌸 Talleres online","✨ 3 a 6 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:42:04 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌕 Abundancia y merecimiento;Reiki ","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🌙 Ejercicios o desafíos semanales","Acompañamiento grupal ","Mentorias","✨ Mentorías personalizadas","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Que siempre sea así desde la transparencia y el amor de paz siendo paz sin filtros amooooo"
"2025/10/20 12:42:06 p. m. GMT-3","✨ Meditaciones grabadas","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional","✨ Mixto (grabado + vivo + comunidad de apoyo)","💫 Ritual guiado paso a paso","Meditaciónes semanales","Meditaciones","🌙 Baños de gong presenciales;✨ Mentorías personalizadas","🌸 Menos de 1 hora","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:43:04 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);🌕 Talleres en vivo por Zoom;🎥 Clases grabadas con acceso ilimitado","🌸 Clan familiar y transgeneracional;✨ Biodescodificación emocional;🌕 Abundancia y merecimiento","💫 En vivo (talleres o encuentros por Zoom)","🎥 Video;🎧 Audio (meditaciones o clases);🌙 Ejercicios o desafíos semanales","Meditaciones semanales, vivos, acompañamiento grupal","Curso sobre biodeco ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;🌸 Talleres online","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
